127.0.0.1, 2020-10-29 08:50:08, GET, /, HTTP/1.1, 303, 0.011638
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.479025
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004645
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005471
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003512
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004229
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004781
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004280
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005334
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.008766
127.0.0.1, 2020-10-29 08:50:08, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004071
127.0.0.1, 2020-10-29 08:50:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001025
127.0.0.1, 2020-10-29 08:50:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001163
127.0.0.1, 2020-10-29 08:50:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.058083
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/default/site, HTTP/1.1, 303, 0.283147
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/default/index, HTTP/1.1, 200, 0.060515
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.001667
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001499
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.001834
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001274
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001536
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001364
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001263
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001734
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003036
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.003936
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.006718
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002807
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.005761
127.0.0.1, 2020-10-29 08:50:14, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.001349
127.0.0.1, 2020-10-29 08:50:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001074
127.0.0.1, 2020-10-29 08:50:18, POST, /admin/default/index, HTTP/1.1, 303, 0.018972
127.0.0.1, 2020-10-29 08:50:18, GET, /admin/default/site, HTTP/1.1, 200, 0.099801
127.0.0.1, 2020-10-29 08:50:18, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.002324
127.0.0.1, 2020-10-29 08:50:18, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.1, 200, 0.001732
127.0.0.1, 2020-10-29 08:50:18, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001425
127.0.0.1, 2020-10-29 08:50:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.349091
127.0.0.1, 2020-10-29 08:50:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000507
127.0.0.1, 2020-10-29 09:07:58, GET, /, HTTP/1.1, 303, 0.001040
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.084890
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002813
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003666
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004704
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003619
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006200
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004368
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003723
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005147
127.0.0.1, 2020-10-29 09:07:58, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003948
127.0.0.1, 2020-10-29 09:07:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001088
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/default/site, HTTP/1.1, 303, 0.008104
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/default/index, HTTP/1.1, 200, 0.029451
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.004830
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.005417
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.005886
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002713
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.004407
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.006565
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004856
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004404
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.007574
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004144
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.007345
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.014114
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.004530
127.0.0.1, 2020-10-29 09:08:01, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.004991
127.0.0.1, 2020-10-29 09:08:04, POST, /admin/default/index, HTTP/1.1, 303, 0.021073
127.0.0.1, 2020-10-29 09:08:04, GET, /admin/default/site, HTTP/1.1, 200, 0.070130
127.0.0.1, 2020-10-29 09:08:05, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.003187
127.0.0.1, 2020-10-29 09:08:05, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.1, 200, 0.002767
127.0.0.1, 2020-10-29 09:08:05, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002019
127.0.0.1, 2020-10-29 09:08:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.313399
127.0.0.1, 2020-10-29 09:08:45, POST, /admin/default/site, HTTP/1.1, 303, 1.416943
127.0.0.1, 2020-10-29 09:08:45, GET, /admin/default/site, HTTP/1.1, 200, 0.090446
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/default/index, HTTP/1.1, 200, 1.034305
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002202
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.009299
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.005145
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007101
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/css/print.css, HTTP/1.1, 200, 0.009268
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/js/jquery.js, HTTP/1.1, 200, 0.005640
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/css/calendar.css, HTTP/1.1, 200, 0.011381
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/js/calendar.js, HTTP/1.1, 200, 0.006926
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/js/web2py.js, HTTP/1.1, 200, 0.008860
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/plugin_jstree/jstree_3/jquery.hotkeys.js, HTTP/1.1, 200, 0.009899
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/plugin_jstree/jstree_3/jquery.jstree.js, HTTP/1.1, 200, 0.007790
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/plugin_jstree/main.css, HTTP/1.1, 200, 0.011169
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/plugin_jstree/jstree_3/themes/default/style.min.css, HTTP/1.1, 200, 0.010388
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.008015
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.008372
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/ui/js/jquery-ui.min.css, HTTP/1.1, 200, 0.005708
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/ui/multiselect/jquery.multiselect.min.js, HTTP/1.1, 200, 0.005122
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/ui/css/redmond/jquery-ui.theme.min.css, HTTP/1.1, 200, 0.007270
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/ui/js/jquery-ui.min.js, HTTP/1.1, 200, 0.009289
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/ui/multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.005907
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/plugin_jschosen/chosen.css, HTTP/1.1, 200, 0.007424
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/plugin_jschosen/chosen.jquery.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/js/share.js, HTTP/1.1, 200, 0.005956
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/images/background.jpg, HTTP/1.1, 200, 0.001532
127.0.0.1, 2020-10-29 09:09:01, GET, /kit/static/images/facebook.png, HTTP/1.1, 200, 0.004216
